"origin","dev","calendar","aggregate_claims","notif_count","cum_notif_count","settle_count","cum_settle_count","unfinal_count"
"1","1",2,6.50033781129254,552,552,39,39,1065
"2","1",3,10.7237473823242,759,759,12,12,1506
"3","1",4,91.6845238360906,701,701,43,43,1359
"4","1",5,10.1987319814087,548,548,64,64,1032
"5","1",6,121.531798302026,635,635,29,29,1241
"6","1",7,79.7458850075192,538,538,22,22,1054
"7","1",8,9.1877265554932,613,613,51,51,1175
"8","1",9,20.7606188657037,742,742,35,35,1449
"9","1",10,60.4847405109316,626,626,21,21,1231
"10","1",11,12.6993541978963,618,618,26,26,1210
"11","1",12,21.9717857419028,553,553,47,47,1059
"12","1",13,99.2868621437354,568,568,33,33,1103
"13","1",14,47.9988709688753,633,633,29,29,1237
"14","1",15,109.573194853737,584,584,44,44,1124
"15","1",16,29.1006916234274,448,448,15,15,881
"16","1",17,81.7788931432304,712,712,47,47,1377
"17","1",18,9.16785199234943,619,619,24,24,1214
"18","1",19,38.543206448239,579,579,45,45,1113
"19","1",20,65.0815575437015,544,544,19,19,1069
"20","1",21,12.5096998505417,645,645,55,55,1235
"1","2",3,121.977393513896,173,725,74,113,785
"2","2",4,96.5763649169434,235,994,102,114,1115
"3","2",5,162.769315063714,88,789,129,172,705
"4","2",6,285.462628739718,199,747,74,138,808
"5","2",7,94.970643965781,177,812,100,129,860
"6","2",8,141.925613768554,115,653,82,104,664
"7","2",9,149.477439781926,145,758,37,88,815
"8","2",10,198.643029147012,148,890,106,141,897
"9","2",11,242.860717306731,141,767,82,103,805
"10","2",12,196.873204701761,168,786,69,95,859
"11","2",13,99.5930935525207,161,714,34,81,794
"12","2",14,112.133896590232,153,721,111,144,730
"13","2",15,160.646250848286,155,788,94,123,820
"14","2",16,135.7016625396,212,796,104,148,860
"15","2",17,63.3082835237667,133,581,58,73,641
"16","2",18,199.691663011985,138,850,57,104,884
"17","2",19,87.4580588774177,167,786,68,92,861
"18","2",20,328.726977630547,183,762,71,116,829
"19","2",21,83.1318633607416,194,738,56,75,857
"20","2",22,179.210273768917,100,745,111,166,679
"1","3",4,207.557798975016,66,791,86,199,658
"2","3",5,360.937428532155,39,1033,117,231,841
"3","3",6,293.34194188664,28,817,113,285,560
"4","3",7,163.953210323597,75,822,87,225,672
"5","3",8,312.918037188799,74,886,94,223,737
"6","3",9,211.874455696462,70,723,112,216,577
"7","3",10,242.484378651652,85,843,83,171,757
"8","3",11,225.445176929219,75,965,83,224,816
"9","3",12,187.706070155548,68,835,129,232,671
"10","3",13,449.150664405179,64,850,164,259,655
"11","3",14,252.245994675937,53,767,90,171,649
"12","3",15,208.268593573681,72,793,66,210,655
"13","3",16,359.560486579769,122,910,85,208,824
"14","3",17,324.356153738143,74,870,130,278,666
"15","3",18,262.829002558584,64,645,79,152,557
"16","3",19,410.313760944526,106,956,85,189,873
"17","3",20,316.738402612399,81,867,128,220,728
"18","3",21,180.067102644174,108,870,131,247,731
"19","3",22,194.082913645657,45,783,93,168,660
"20","3",23,297.881929512737,54,799,61,227,626
"1","4",5,273.886208424602,20,811,101,300,531
"2","4",6,378.206728286482,14,1047,95,326,735
"3","4",7,181.260754516052,53,870,69,354,569
"4","4",8,168.225270323039,35,857,110,335,557
"5","4",9,277.25922048824,23,909,121,344,588
"6","4",10,553.366318750313,35,758,80,296,497
"7","4",11,264.023359354898,52,895,127,298,649
"8","4",12,364.382814014994,31,996,151,375,652
"9","4",13,358.425082920839,45,880,117,349,576
"10","4",14,349.759395999639,42,892,113,372,562
"11","4",15,237.082265622381,28,795,121,292,531
"12","4",16,325.124063717446,42,835,117,327,550
"13","4",17,281.859071135145,47,957,151,359,645
"14","4",18,382.996784132694,60,930,141,419,571
"15","4",19,339.73264730623,40,685,102,254,471
"16","4",20,398.728279908873,39,995,139,328,706
"17","4",21,252.427338544536,34,901,108,328,607
"18","4",22,241.038025180726,58,928,81,328,658
"19","4",23,547.28439742289,25,808,127,295,538
"20","4",24,239.85516194402,32,831,97,324,539
"1","5",6,484.887210529601,30,841,91,391,480
"2","5",7,259.228176290673,12,1059,133,459,612
"3","5",8,193.293385087471,31,901,95,449,483
"4","5",9,525.713887641706,23,880,98,433,470
"5","5",10,437.648147900488,14,923,105,449,488
"6","5",11,415.104265284475,30,788,110,406,412
"7","5",12,319.892457539391,16,911,80,378,549
"8","5",13,385.419887088741,13,1009,79,454,568
"9","5",14,447.667417806257,17,897,140,489,425
"10","5",15,334.62154389092,21,913,86,458,476
"11","5",16,336.580704486889,12,807,146,438,381
